counter,email,phoneNumber,creditCard,deviceID,billingAddress,shippingAddress,transactionID,fraud,ipPrefix
1,481@gmail.com,847195448,5.73E+15,4561279-E32X-500,76743 FakeData Rd,33471 FakeData Rd,tx1,0,899.767.501.667
2,3379@gmail.com,596289881,5.59E+15,9983439-E32X-500,4429 FakeData Rd,38117 FakeData Rd,tx2,0,843.276.507.819
3,1872@gmail.com,834212136,5.47E+15,8917413-E32X-500,71963 FakeData Rd,21785 FakeData Rd,tx3,0,253.724.928.138
4,8514@gmail.com,544248139,5.38E+15,4973912-E32X-500,10249 FakeData Rd,16058 FakeData Rd,tx4,0,158.508.348.768
5,6950@gmail.com,831276369,5.57E+15,1318620-E32X-500,42170 FakeData Rd,20925 FakeData Rd,tx5,0,566.523.648.948
6,2237@gmail.com,518055817,5.47E+15,2714245-E32X-500,89565 FakeData Rd,54936 FakeData Rd,tx6,0,719.669.684.295
7,6181@gmail.com,580928220,5.73E+15,9401977-E32X-500,54732 FakeData Rd,58171 FakeData Rd,tx7,0,431.503.89.196
8,5136@gmail.com,658861292,5.84E+15,5693798-E32X-500,64508 FakeData Rd,47416 FakeData Rd,tx8,0,244.324.562.649
9,4573@gmail.com,661008236,5.27E+15,4095016-E32X-500,24205 FakeData Rd,83205 FakeData Rd,tx9,0,427.851.513.457
10,1907@gmail.com,764774580,5.55E+15,4242149-E32X-500,75564 FakeData Rd,53285 FakeData Rd,tx10,0,648.373.699.829
11,784@gmail.com,770002224,5.54E+15,8485762-E32X-500,73771 FakeData Rd,17281 FakeData Rd,tx11,0,704.656.433.973
12,1360@gmail.com,505833945,5.64E+15,2169739-E32X-500,82411 FakeData Rd,47318 FakeData Rd,tx12,0,368.881.284.617
13,566@gmail.com,504347697,5.83E+15,3905996-E32X-500,8624 FakeData Rd,66220 FakeData Rd,tx13,0,143.597.981.630
14,2188@gmail.com,648700235,5.69E+15,8006163-E32X-500,52173 FakeData Rd,62936 FakeData Rd,tx14,0,738.240.360.713
15,346@gmail.com,890420193,5.54E+15,1648541-E32X-500,75254 FakeData Rd,82122 FakeData Rd,tx15,0,589.349.50.397
16,7409@gmail.com,567689863,5.37E+15,5178452-E32X-500,21708 FakeData Rd,87920 FakeData Rd,tx16,0,113.177.468.90
17,6299@gmail.com,701225224,5.81E+15,8507478-E32X-500,81918 FakeData Rd,40282 FakeData Rd,tx17,0,135.162.438.445
18,7896@gmail.com,487006574,5.45E+15,9866498-E32X-500,22334 FakeData Rd,72493 FakeData Rd,tx18,0,219.683.714.783
19,6406@gmail.com,548269396,5.71E+15,742364-E32X-500,58018 FakeData Rd,61743 FakeData Rd,tx19,0,227.119.420.125
20,5032@gmail.com,449115235,5.46E+15,7772625-E32X-500,32578 FakeData Rd,48991 FakeData Rd,tx20,0,271.599.287.147
21,5584@gmail.com,623025045,5.90E+15,9483669-E32X-500,30982 FakeData Rd,2017 FakeData Rd,tx21,1,497.455.738.8
22,6986@gmail.com,640096218,5.55E+15,105814-E32X-500,504 FakeData Rd,4340 FakeData Rd,tx22,0,335.536.510.82
23,1798@gmail.com,516941587,5.59E+15,7306332-E32X-500,36743 FakeData Rd,84010 FakeData Rd,tx23,0,612.864.335.37
